latitude,longitude,precision,geohash
-90.0000000000,-180.0000000000,12,000000000000
-89.9900000000,-179.9800000000,12,000003yd601h
-89.9800000000,-179.9600000000,12,00000gths060
-89.9700000000,-179.9400000000,12,00001m7wy07h
-89.9600000000,-179.9200000000,12,00001z6300s3
-89.9500000000,-179.9000000000,12,0000630g60tm
-89.9400000000,-179.8800000000,12,00006dzms0y3
-89.9300000000,-179.8600000000,12,00007htzy0zw
-89.9200000000,-179.8400000000,12,00007wsd030d
-89.9100000000,-179.8200000000,12,0000s07h631w
-89.9000000000,-179.8000000000,12,0000sd1ws36g
-89.8900000000,-179.7800000000,12,0000th00y37z
-89.8800000000,-179.7600000000,12,0000tmyg03sg
-89.8700000000,-179.7400000000,12,0000tztm63y0
-89.8600000000,-179.7200000000,12,0000y37zs3zh
-89.8500000000,-179.7000000000,12,0000yg63yd00
-89.8400000000,-179.6800000000,12,0000zm1h0d1m
-89.8300000000,-179.6600000000,12,0000zwzw6d63
-89.8200000000,-179.6400000000,12,000300y0sd7m
-89.8100000000,-179.6200000000,12,00030dsdydsd
-89.8000000000,-179.6000000000,12,00031h7m0dtw
-89.7900000000,-179.5800000000,12,00031w1z6dyd
-89.7800000000,-179.5600000000,12,00036003sdzz
-89.7700000000,-179.5400000000,12,000363ygyg0g
-89.7600000000,-179.5200000000,12,00036gtw0g1z
-89.7500000000,-179.5000000000,12,00037ms06g7h
-89.7400000000,-179.4800000000,12,00037z6dsgs0
-89.7300000000,-179.4600000000,12,0003s31hygth
-89.7200000000,-179.4400000000,12,0003sdzz0gy3
-89.7100000000,-179.4200000000,12,0003thy36gzm
-89.7000000000,-179.4000000000,12,0003twsgth03
-89.6900000000,-179.3800000000,12,0003y07mzh1w
-89.6800000000,-179.3600000000,12,0003yd601h6d
-89.6700000000,-179.3400000000,12,0003zh0d7h7w
-89.6600000000,-179.3200000000,12,0003zmzhthsg
-89.6500000000,-179.3000000000,12,0003zztwzhtz
-89.6400000000,-179.2800000000,12,000d03s31hyg
-89.6300000000,-179.2600000000,12,000d0g6g7hzz
-89.6200000000,-179.2400000000,12,000d1m1mtm1h
-89.6100000000,-179.2200000000,12,000d1wzzzm60
-89.6000000000,-179.2000000000,12,000d60yd1m7h
-89.5900000000,-179.1800000000,12,000d6dth7ms3
-89.5800000000,-179.1600000000,12,000d7h7wtmtm
-89.5700000000,-179.1400000000,12,000d7w60zmy3
-89.5600000000,-179.1200000000,12,000ds00g1mzw
-89.5500000000,-179.1000000000,12,000ds3zm7w0d
-89.5400000000,-179.0800000000,12,000dsgtztw1w
-89.5300000000,-179.0600000000,12,000dtms3zw6g
-89.5200000000,-179.0400000000,12,000dtz7h1w7z
-89.5100000000,-179.0200000000,12,000dy31w7wsg
-89.5000000000,-179.0000000000,12,000dyg00twy0
-89.4900000000,-178.9800000000,12,000dzhydzwzh
-89.4800000000,-178.9600000000,12,000dzwtm1z00
-89.4700000000,-178.9400000000,12,000g007z7z1m
-89.4600000000,-178.9200000000,12,000g0d63tz63
-89.4500000000,-178.9000000000,12,000g1h0gzz7m
-89.4400000000,-178.8800000000,12,000g1mzw1zsd
-89.4300000000,-178.8600000000,12,000g1zy07ztw
-89.4200000000,-178.8400000000,12,000g63sdtzyd
-89.4100000000,-178.8200000000,12,000g6g7hzzzz
-89.4000000000,-178.8000000000,12,000g7m1z600g
-89.3900000000,-178.7800000000,12,000g7z03s01z
-89.3800000000,-178.7600000000,12,000gs0ygy07h
-89.3700000000,-178.7400000000,12,000gsdtw00s0
-89.3600000000,-178.7200000000,12,000gths060th
-89.3500000000,-178.7000000000,12,000gtw6ds0y3
-89.3400000000,-178.6800000000,12,000gy01hy0zm
-89.3300000000,-178.6600000000,12,000gy3zz0303
-89.3200000000,-178.6400000000,12,000gygy3631w
-89.3100000000,-178.6200000000,12,000gzmsgs36d
-89.3000000000,-178.6000000000,12,000gzz7my37w
-89.2900000000,-178.5800000000,12,001h036003sd
-89.2800000000,-178.5600000000,12,001h0g0d63tz
-89.2700000000,-178.5400000000,12,001h1hzhs3yg
-89.2600000000,-178.5200000000,12,001h1wtwy3zz
-89.2500000000,-178.5000000000,12,001h60s30d1h
-89.2400000000,-178.4800000000,12,001h6d6g6d60
-89.2300000000,-178.4600000000,12,001h7h1msd7h
-89.2200000000,-178.4400000000,12,001h7mzzyds3
-89.2100000000,-178.4200000000,12,001h7zyd0dtm
-89.2000000000,-178.4000000000,12,001hs3th6dy3
